time,,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 05:16:36Z.242,1647839796.242,0x780db8,,0,0,N,7850,0,174,214,1792
2022-03-21 05:16:42Z.802,1647839802.802,0x780db8,CES5735,25.09502,102.91204,P,8100,0,178,218,2624
2022-03-21 05:16:48Z.212,1647839808.212,0x780db8,CES5735,25.09154,102.90868,P,8300,2101,179,222,2048
2022-03-21 05:16:53Z.632,1647839813.632,0x780db8,CES5735,25.08835,102.90505,P,8400,2101,183,227,1024
2022-03-21 05:16:58Z.059,1647839818.059,0x780db8,,0,0,N,8450,0,189,229,1152
2022-03-21 05:16:59Z.054,1647839819.054,0x780db8,CES5735,25.08537,102.90127,P,8500,2101,190,229,1344
2022-03-21 05:17:01Z.235,1647839821.235,0x780db8,,0,0,N,8550,2101,191,229,960
2022-03-21 05:17:02Z.942,1647839822.942,0x780db8,,25.08339,102.89871,P,8575,2101,192,229,1600
2022-03-21 05:17:04Z.664,1647839824.664,0x780db8,CES5735,25.08197,102.89688,P,8600,2101,197,229,1088
2022-03-21 05:17:06Z.029,1647839826.029,0x780db8,,25.08147,102.89627,P,8625,2101,198,229,896
2022-03-21 05:17:08Z.665,1647839828.665,0x780db8,CES5735,25.07982,102.89404,P,8650,2101,200,230,640
2022-03-21 05:17:10Z.248,1647839830.248,0x780db8,CES5735,25.07858,102.89246,P,8675,2101,204,230,640
2022-03-21 05:17:11Z.420,1647839831.420,0x780db8,CES5735,25.07918,102.89323,P,8700,2101,203,230,704
2022-03-21 05:17:14Z.531,1647839834.531,0x780db8,CES5735,25.0762,102.88934,P,8750,2101,209,230,1024
2022-03-21 05:17:15Z.493,1647839835.493,0x780db8,CES5735,25.07533,102.88818,P,8775,2101,210,230,1088
2022-03-21 05:17:17Z.375,1647839837.375,0x780db8,CES5735,25.07433,102.88686,P,8825,2101,203,230,704
2022-03-21 05:17:19Z.746,1647839839.746,0x780db8,CES5735,25.07318,102.88535,P,8875,2101,211,230,1984
2022-03-21 05:17:21Z.137,1647839841.137,0x780db8,CES5735,25.07176,102.88351,P,8925,2101,215,230,1344
2022-03-21 05:17:23Z.219,1647839843.219,0x780db8,CES5735,25.07071,102.88213,P,8950,2101,216,230,1088
2022-03-21 05:17:25Z.418,1647839845.418,0x780db8,CES5735,25.06915,102.88004,P,8975,2101,221,230,704
2022-03-21 05:17:26Z.579,1647839846.579,0x780db8,CES5735,25.0681,102.87862,P,8975,2101,222,230,704
2022-03-21 05:17:28Z.670,1647839848.670,0x780db8,CES5735,25.0674,102.87774,P,9000,2101,225,230,704
2022-03-21 05:17:30Z.756,1647839850.756,0x780db8,CES5735,25.06535,102.87501,P,9050,2101,230,230,896
2022-03-21 05:17:31Z.663,1647839851.663,0x780db8,CES5735,25.0647,102.87406,P,9075,2101,230,230,896
2022-03-21 05:17:34Z.090,1647839854.090,0x780db8,CES5735,25.0643,102.87354,P,9100,2101,233,230,1344
